
Epoch [1/150], Train Loss: 0.6365, Validation Loss: 1.3255
Epoch [2/150], Train Loss: 0.4622, Validation Loss: 0.9055
Epoch [3/150], Train Loss: 0.4297, Validation Loss: 0.4731
Epoch [4/150], Train Loss: 0.4092, Validation Loss: 0.7791
Epoch [5/150], Train Loss: 0.4034, Validation Loss: 0.4019
Epoch [6/150], Train Loss: 0.3822, Validation Loss: 0.5433
Epoch [7/150], Train Loss: 0.3698, Validation Loss: 0.3839
Epoch [8/150], Train Loss: 0.3556, Validation Loss: 0.4229
Epoch [9/150], Train Loss: 0.3427, Validation Loss: 0.3416
Epoch [10/150], Train Loss: 0.3273, Validation Loss: 0.3570
Epoch [11/150], Train Loss: 0.3163, Validation Loss: 0.6020
Epoch [12/150], Train Loss: 0.3052, Validation Loss: 0.3087
Epoch [13/150], Train Loss: 0.2945, Validation Loss: 0.9852
Epoch [14/150], Train Loss: 0.2941, Validation Loss: 0.2765
Epoch [15/150], Train Loss: 0.2702, Validation Loss: 0.3155
Epoch [16/150], Train Loss: 0.2616, Validation Loss: 0.2834
Epoch [17/150], Train Loss: 0.2537, Validation Loss: 0.2550
Epoch [18/150], Train Loss: 0.2522, Validation Loss: 0.3182
Epoch [19/150], Train Loss: 0.2503, Validation Loss: 0.2459
Epoch [20/150], Train Loss: 0.2374, Validation Loss: 0.2460
Epoch [21/150], Train Loss: 0.2340, Validation Loss: 0.2946
Epoch [22/150], Train Loss: 0.2300, Validation Loss: 0.2824
Epoch [23/150], Train Loss: 0.2265, Validation Loss: 0.2545
Epoch [24/150], Train Loss: 0.2236, Validation Loss: 0.2901
Epoch [25/150], Train Loss: 0.2219, Validation Loss: 0.2468
Epoch [26/150], Train Loss: 0.2216, Validation Loss: 0.2981
Epoch [27/150], Train Loss: 0.2112, Validation Loss: 0.2267
Epoch [28/150], Train Loss: 0.2095, Validation Loss: 0.2443
Epoch [29/150], Train Loss: 0.2068, Validation Loss: 0.3407
Epoch [30/150], Train Loss: 0.2145, Validation Loss: 0.2232
Epoch [31/150], Train Loss: 0.2011, Validation Loss: 0.2393
Epoch [32/150], Train Loss: 0.2002, Validation Loss: 0.2500
Epoch [33/150], Train Loss: 0.1978, Validation Loss: 0.2939
Epoch [34/150], Train Loss: 0.1900, Validation Loss: 0.2146
Epoch [35/150], Train Loss: 0.1892, Validation Loss: 0.2528
