Server started and listening on port 44011
Server started and listening on port 44011
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
[EXCEPTION] ExceptionCode=0xc0000005, EIP=0x1010fb9b, ESP=0x0031FC10
